longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,,median_house_value
-121.46,38.52,29,3873,797,2237,706,2.1736,75687,INLAND,,72100
-117.23,33.09,7,5320,855,2015,768,6.3373,297885.01,NEAR OCEAN,,279600
-119.04,35.37,44,1618,310,667,300,2.875,78807,INLAND,,82700
-117.13,32.75,24,1877,519,898,483,2.2264,123486,NEAR OCEAN,,112500
-118.7,34.28,27,3536,646,1837,580,4.4964,226094,<1H OCEAN,,238300
-122.04,37.96,28,1207,252,724,252,3.6964,167170,NEAR BAY,,165700
-122.03,37.33,23,4221,671,1782,641,7.4863,412506.11,<1H OCEAN,,412300
-118.31,34.2,36,1692,263,778,278,5.0865,325083,<1H OCEAN,,349600
-121.95,37.27,17,1330,271,408,258,1.7171,229318.02,<1H OCEAN,,181300
-118.28,34.02,29,515,229,2690,217,0.4999,394324.68,<1H OCEAN,,500001
-121.54,39.08,23,1076,216,724,197,2.3598,69979,INLAND,,57500
-117.99,33.69,12,2480,858,1441,788,1.6705,289111.01,<1H OCEAN,,350000
-116.39,33.69,10,11659,2007,2186,1083,6.9833,271993,INLAND,,238800
-119.83,36.78,30,3162,640,1660,639,2.8359,78484,INLAND,,80300
-117.22,32.83,31,2558,512,1164,492,3.4318,205641,NEAR OCEAN,,200400
-121.88,37.37,14,6016,1404,3258,1316,3.5745,295816,<1H OCEAN,,333700
-118.08,33.93,39,1478,324,1127,320,3.525,160768,<1H OCEAN,,158000
-117.91,33.65,17,1328,377,762,344,2.2222,240710,<1H OCEAN,,276800
-122.53,37.9,44,2846,551,1232,537,3.8839,350993.01,NEAR BAY,,327200
-117.86,33.79,42,1024,191,483,187,4.105,196971,<1H OCEAN,,194500
-117.26,34.48,6,4632,753,1851,694,4.1933,155003,INLAND,,163100
-122.28,37.91,48,2083,298,685,286,7.3089,351709.03,NEAR BAY,,331200
-121.23,38.79,45,907,176,463,190,2.2292,97628,INLAND,,92000
-117.94,34.1,31,1239,254,929,244,3.3625,157107,<1H OCEAN,,153400
-120.96,39.12,24,2069,436,909,374,2.5326,132870,INLAND,,139100
-117.35,33.98,31,4163,1242,3928,1076,1.6943,91645,INLAND,,85900
-119.03,34.24,25,3655,545,1776,544,5.687,252552.01,<1H OCEAN,,238100
-117,32.77,30,1802,401,776,386,2.8125,167306,<1H OCEAN,,173500
-120.84,35.31,23,3100,603,1515,609,2.8493,204988,NEAR OCEAN,,196100
-118.33,34.08,50,2989,832,1345,775,3.2426,382237.01,<1H OCEAN,,442900
-118.05,33.81,26,2523,437,1377,450,5.2542,233533,<1H OCEAN,,234600
-117.94,34.08,32,2704,514,1669,497,4.4653,194341,<1H OCEAN,,195400
-118.8,34.27,12,3330,600,1577,584,4.6985,249643,<1H OCEAN,,264100
-122,37.27,33,1664,271,759,272,5.7876,359061,<1H OCEAN,,415800
-121.89,37.3,47,2355,426,961,428,5.3955,310066.03,<1H OCEAN,,282300
-117.22,32.74,52,1260,202,555,209,7.2758,352888.03,NEAR OCEAN,,345200
-121.49,38.59,20,463,180,486,190,1.0313,82993,INLAND,,85000
-118.39,34.02,38,2447,636,1312,574,3.5909,295966.01,<1H OCEAN,,279400
-119.56,36.53,19,2746,495,1670,518,3.2019,98100,INLAND,,95700
-118.02,34.09,32,1747,399,1199,402,3.4286,197497,INLAND,,191800
-118.59,34.21,34,2389,521,1560,514,4.8333,226860,<1H OCEAN,,225400
-116.8,33.52,3,830,145,272,104,3.8281,170997.04,INLAND,,163500
-118.19,33.85,45,1167,302,773,287,3.2798,174715,NEAR OCEAN,,150300
-117.18,32.8,10,3821,631,1605,609,5.5454,239559,NEAR OCEAN,,217100
-117.86,33.71,36,191,42,208,37,3.375,159700,<1H OCEAN,,157500
-118.08,33.97,38,1026,190,789,193,4.2,165616,<1H OCEAN,,163200
-117.36,34,19,4592,895,2769,838,3.3622,110297,INLAND,,105100
-121.78,37.97,4,17032,2546,7653,2359,5.5601,214383,INLAND,,213700
-121.27,38.13,40,2402,509,1197,486,2.1771,93503,INLAND,,98200
-118.67,34.28,21,4059,598,2133,634,5.6949,242453,<1H OCEAN,,235300
-121.83,37.37,43,1461,284,800,258,3.2279,188440,<1H OCEAN,,182400
-122.53,37.92,45,1530,324,608,328,3.875,381236,NEAR BAY,,390800
-117.91,33.73,26,2413,512,2867,509,4.7639,185464,<1H OCEAN,,179900
-119.79,36.75,33,3161,934,3530,846,1.123,49481,INLAND,,46700
-117.9,33.64,28,2466,507,1081,465,3.9375,311554,<1H OCEAN,,339800
-121.01,37.66,36,3679,613,1366,581,4.5,155800,INLAND,,151400
-122.38,40.61,14,4773,1133,2101,1072,1.7227,99127,INLAND,,105000
-122.17,37.73,52,1555,289,620,292,3.7159,194008,NEAR BAY,,183300
-117.27,34.39,6,6988,1121,3660,1092,4.2224,133889,INLAND,,125700
-117.06,32.57,25,1268,282,991,299,3.0284,124393,NEAR OCEAN,,123600
